trial_index,repeat_index,id,base_case_id,family,tool_name,forge_status,attempts,verification_cases,cold_forge_success,cold_example_success,warm_success,warm_reuse,warm_path,search_score,failure_type,cold_latency_ms,warm_latency_ms,forge_log_path
33,4,agent_demo_03_sort_numbers__r04,agent_demo_03_sort_numbers,list,sort_numbers_ascending,success,1,3,True,False,True,True,fast,0.8105,,38323.35730000341,9955.635199992685,data\forge_logs\liu_xinquan_real_agent_50\dda38a7ff45f4b40a36f1d49f334e4ad.json
34,4,agent_demo_04_deduplicate__r04,agent_demo_04_deduplicate,list,remove_duplicates_preserve_order,success,1,3,True,False,True,False,slow,0.0105,,49990.35619999631,149798.88260000735,data\forge_logs\liu_xinquan_real_agent_50\305ab8b455f7451ea7c5b52a6f604885.json
35,4,agent_demo_05_json_rows_filter__r04,agent_demo_05_json_rows_filter,json_rows,filter_names_by_threshold,success,1,3,True,True,True,True,fast,0.8087,,58243.4140000114,8722.167200001422,data\forge_logs\liu_xinquan_real_agent_50\b4b979b2955846aa9cc72fc659bbc6eb.json
36,4,agent_demo_06_csv_text__r04,agent_demo_06_csv_text,csv_text,filter_csv_names_by_score,success,1,3,True,False,False,False,slow,0.0105,,84751.1727999954,85242.76710000413,data\forge_logs\liu_xinquan_real_agent_50\73e0ce96b67e4ffdb0a1013a8b3d7b54.json
37,4,agent_demo_07_jsonl_sum__r04,agent_demo_07_jsonl_sum,jsonl,sum_jsonl_field,success,1,3,True,True,False,True,fast,0.8095,,62001.19700000505,23487.214399996446,data\forge_logs\liu_xinquan_real_agent_50\7874e7762ffe4ff7839c0a8ef07ded58.json
38,4,agent_demo_08_moving_average__r04,agent_demo_08_moving_average,moving_average,compute_moving_average,success,1,3,True,False,True,True,fast,0.8091,,51384.71980000031,8145.882099997834,data\forge_logs\liu_xinquan_real_agent_50\ea77196cc2e54896ba5c497675cda6b3.json
39,4,agent_demo_09_category_aggregation__r04,agent_demo_09_category_aggregation,category_aggregation,total_amounts_by_category,success,1,3,True,False,True,True,fast,0.8087,,78970.59389999777,7414.325500008999,data\forge_logs\liu_xinquan_real_agent_50\becafcde3dce4bd49e5ff60479021853.json
40,4,agent_demo_10_url_query_keys__r04,agent_demo_10_url_query_keys,url,sorted_url_query_keys,success,1,3,True,True,True,True,fast,0.8095,,48715.588300008676,4771.468699997058,data\forge_logs\liu_xinquan_real_agent_50\a546447e9a3d4c84ae27701adb888ef7.json
41,5,agent_demo_01_text_reverse__r05,agent_demo_01_text_reverse,string,reverse_string,success,1,3,True,False,True,True,fast,0.8118,,41564.83909999952,4463.325500008068,data\forge_logs\liu_xinquan_real_agent_50\d75deda000a5430b950491e5735a6d4a.json
42,5,agent_demo_02_vowel_count__r05,agent_demo_02_vowel_count,string,count_vowels,success,1,3,True,True,True,True,fast,0.8095,,32200.391599995783,5547.104099998251,data\forge_logs\liu_xinquan_real_agent_50\16297d6e1f244d3f97a7387efff7deb4.json
43,5,agent_demo_03_sort_numbers__r05,agent_demo_03_sort_numbers,list,sort_numbers_ascending,success,1,3,True,False,True,True,fast,0.8105,,52279.488500003936,10716.745500001707,data\forge_logs\liu_xinquan_real_agent_50\bfa14e401147483ba9b7f3a346ac752a.json
44,5,agent_demo_04_deduplicate__r05,agent_demo_04_deduplicate,list,remove_duplicates_preserve_order,success,1,3,True,False,True,True,fast,0.808,,52780.61750000052,51649.59590000217,data\forge_logs\liu_xinquan_real_agent_50\b78f5e8947224fbfbf9809b69d351967.json
45,5,agent_demo_05_json_rows_filter__r05,agent_demo_05_json_rows_filter,json_rows,filter_names_by_score_threshold,success,1,3,True,True,True,True,fast,0.8091,,65628.10129999707,8889.295000000857,data\forge_logs\liu_xinquan_real_agent_50\09c0b2398ca847d0a5cb3df2c4caad83.json
46,5,agent_demo_06_csv_text__r05,agent_demo_06_csv_text,csv_text,parse_csv_and_join_matching_names,success,4,3,True,False,True,True,fast,0.8074,runtime,342641.17829999304,10016.057900007581,data\forge_logs\liu_xinquan_real_agent_50\eb060ea0baa0475798f1228cd8066bf6.json
47,5,agent_demo_07_jsonl_sum__r05,agent_demo_07_jsonl_sum,jsonl,sum_jsonl_field,success,1,3,True,True,True,True,fast,0.8095,,60003.84810000833,27723.452699996415,data\forge_logs\liu_xinquan_real_agent_50\fee86bf121194cfbbc45f3354ed8f2b6.json
48,5,agent_demo_08_moving_average__r05,agent_demo_08_moving_average,moving_average,moving_average,success,1,3,True,False,True,True,fast,0.8095,,84076.78059999307,11974.87320000073,data\forge_logs\liu_xinquan_real_agent_50\9f081a6c93e64659a150c2bc7c28f0a4.json
49,5,agent_demo_09_category_aggregation__r05,agent_demo_09_category_aggregation,category_aggregation,sum_by_group,success,2,3,True,False,True,True,fast,0.8074,runtime,133323.23510000424,11744.212099991273,data\forge_logs\liu_xinquan_real_agent_50\5db128c54432400f8079b45f146d6c08.json
50,5,agent_demo_10_url_query_keys__r05,agent_demo_10_url_query_keys,url,sorted_query_param_names,success,1,3,True,True,True,True,fast,0.8095,,71323.85030000296,5867.603799997596,data\forge_logs\liu_xinquan_real_agent_50\3e8c2af5794e44279218b4629b2343e5.json
